category,,category,model,total_price,number,prop
GPU并行运算服务器中、低档,3,GPU并行运算服务器中、低档,"inspur浪潮, NF8460M4",3908898.0,55,0.0395366321096
GPU并行运算服务器中、低档,2,GPU并行运算服务器中、低档,"inspur浪潮, NF5270M4",1444156.0,67,0.0146069466332
GPU并行运算服务器中、低档,8,GPU并行运算服务器中、低档,"戴尔, Dell PowerEdge R730",642243.0,27,0.00649598050805
GPU并行运算服务器中、低档,6,GPU并行运算服务器中、低档,"华为, RH2288H V2+2*E5-2620V2处理器+32GB 内存",593506.2,24,0.00600303110599
GPU并行运算服务器中、低档,7,GPU并行运算服务器中、低档,"惠普, ML350 Gen9",374184.0,5,0.0037846920409
GPU并行运算服务器中、低档,5,GPU并行运算服务器中、低档,"华三（H3C）, H3C UIS R390 G2【配置升级",85584.0,3,0.000865641191575
GPU并行运算服务器中、低档,0,GPU并行运算服务器中、低档,"LTHPC（联泰集群）, LT-7038A",85180.0,7,0.000861554924967
GPU并行运算服务器中、低档,4,GPU并行运算服务器中、低档,"华三（H3C）, H3C UIS R390 G2",50000.0,2,0.000505726065371
GPU并行运算服务器中、低档,1,GPU并行运算服务器中、低档,"LTHPC（联泰集群）, LT-7048A",26700.0,2,0.000270057718908
GPU并行运算服务器中、低档,9,GPU并行运算服务器中、低档,"曙光, W560-G",19500.0,1,0.000197233165495
GPU并行运算服务器高档,18,GPU并行运算服务器高档,"戴尔, Dell PowerEdge R730",1762234.0,53,0.0178241533417
GPU并行运算服务器高档,13,GPU并行运算服务器高档,"inspur浪潮, TS860G3",1105000.0,3,0.0111765460447
GPU并行运算服务器高档,10,GPU并行运算服务器高档,"Lenovo systemX, System x3650M5",1005485.0,31,0.0101699994568
GPU并行运算服务器高档,19,GPU并行运算服务器高档,"曙光, W580I-G",989475.0,29,0.0100080659707
GPU并行运算服务器高档,15,GPU并行运算服务器高档,"华为, RH2288H V3+2*E5-2609V3处理器+64GB DDR4 内存",609554.55,19,0.00616535248401
GPU并行运算服务器高档,12,GPU并行运算服务器高档,"inspur浪潮, NF5288M4",444980.0,6,0.00450075969138
GPU并行运算服务器高档,20,GPU并行运算服务器高档,"曙光, W780-G",346962.0,10,0.00350935454187
GPU并行运算服务器高档,16,GPU并行运算服务器高档,"华为, RH5885H V3+4*E7-4809V3处理器+64GB DDR4 内存",317654.97,3,0.00321292796247
GPU并行运算服务器高档,11,GPU并行运算服务器高档,"Oracle（Sun）, PCA compute server",149179.0,1,0.00150887417412
GPU并行运算服务器高档,17,GPU并行运算服务器高档,"容天, SCS4450",113600.0,2,0.00114900962052
GPU并行运算服务器高档,14,GPU并行运算服务器高档,"华三（H3C）, H3C UIS R390 G2【配置升级】",47697.0,1,0.0004824323228
MIC并行服务器,26,MIC并行服务器,"戴尔, Dell PowerEdge R730XD",2129929.0,71,0.0215432122538
MIC并行服务器,22,MIC并行服务器,"inspur浪潮, NF5280M4",1684700.0,32,0.0170399340466
MIC并行服务器,23,MIC并行服务器,"inspur浪潮, NF5568M4",779900.0,11,0.00788831516766
MIC并行服务器,28,MIC并行服务器,"超云, R9480 G10",240000.0,2,0.00242748511378
MIC并行服务器,25,MIC并行服务器,"戴尔, Dell PowerEdge R430",192288.0,8,0.00194490107316
MIC并行服务器,24,MIC并行服务器,"戴尔, Dell PowerEdge C6320",101240.0,4,0.00102399413716
MIC并行服务器,21,MIC并行服务器,"LTHPC（联泰集群）, LT-7048GR-TR",97400.0,4,0.000985154375343
MIC并行服务器,27,MIC并行服务器,"曙光, A840",43550.0,1,0.000440487402938
UNIX服务器,30,UNIX服务器,"Lenovo（联想）, ThinkServer RQ940",2886988.0,22,0.0292005016403
UNIX服务器,31,UNIX服务器,"新云东方, NA6814(6814-A1C)",1028300.0,4,0.0104007622604
UNIX服务器,29,UNIX服务器,"Lenovo systemX, System x3950X6",928086.0,3,0.00938714562212
UNIX服务器,32,UNIX服务器,"新云东方, NA7822(7822-A1C)",734054.0,1,0.0074246048238
UNIX服务器,33,UNIX服务器,"曙光, I980-G10（支持双四路）",240860.0,2,0.00243618360211
刀片服务器中档,34,刀片服务器中档,"Lenovo systemX, Flex system x240M5",1808972.0,66,0.0182968858385
刀片服务器中档,41,刀片服务器中档,"戴尔, Dell PowerEdge M630",1771788.0,76,0.0179207874782
刀片服务器中档,42,刀片服务器中档,"曙光, CB85-G10",618800.0,14,0.00625886578504
刀片服务器中档,38,刀片服务器中档,"华为, CH220 V3+2*E5-2609V3处理器+32GB DDR4 内存",257686.96,8,0.00260638024757
