category,,category,model,total_price,number,prop
GPU并行运算服务器中、低档,3,GPU并行运算服务器中、低档,"inspur浪潮, NF8460M4",3908898.0,55,0.0395366321096
GPU并行运算服务器高档,18,GPU并行运算服务器高档,"戴尔, Dell PowerEdge R730",1762234.0,53,0.0178241533417
MIC并行服务器,26,MIC并行服务器,"戴尔, Dell PowerEdge R730XD",2129929.0,71,0.0215432122538
MIC并行服务器,22,MIC并行服务器,"inspur浪潮, NF5280M4",1684700.0,32,0.0170399340466
UNIX服务器,30,UNIX服务器,"Lenovo（联想）, ThinkServer RQ940",2886988.0,22,0.0292005016403
刀片服务器中档,34,刀片服务器中档,"Lenovo systemX, Flex system x240M5",1808972.0,66,0.0182968858385
刀片服务器中档,41,刀片服务器中档,"戴尔, Dell PowerEdge M630",1771788.0,76,0.0179207874782
塔式服务器高档,81,塔式服务器高档,"戴尔, Dell PowerEdge T630",1520894.0,48,0.0153831147693
机架式服务器中、低档,100,机架式服务器中、低档,"华为, RH2288 V3+2*E5-2609V3处理器+16GB DDR4内存",1941475.86,72,0.0196370989538
机架式服务器中、低档,94,机架式服务器中、低档,"inspur浪潮, NF5170M4",1711520.0,69,0.0173112055081
机架式服务器中、低档,90,机架式服务器中、低档,"Lenovo（联想）, ThinkServer RD650",1540762.0,62,0.0155840700787
机架式服务器中、低档,105,机架式服务器中、低档,"惠普, DL380 Gen9",1539585.0,56,0.0155721652871
机架式服务器高档,118,机架式服务器高档,"Lenovo systemX, System x3850X6",7866640.0,79,0.0795672978979
机架式服务器高档,125,机架式服务器高档,"惠普, DL580 Gen9",6981569.0,36,0.0706152284098
机架式服务器高档,123,机架式服务器高档,"华为, RH5885 V3+4*E7-4809处理器+32GB DDR4内存",5212970.65,56,0.0527267027144
机架式服务器高档,126,机架式服务器高档,"戴尔, Dell PowerEdge R930",3541433.0,66,0.0358198995373
机架式服务器高档,120,机架式服务器高档,"inspur浪潮, NF8480M4",3166896.5,41,0.0320316421277
机架式服务器高档,128,机架式服务器高档,"曙光, I840-G20",2262878.0,39,0.0228879277471
