3730624 中国极地研究中心 100 393.00 上海互联网软件有限公司 2015-12-11 09:54:44 
3730623 中国极地研究中心 1 40,020.00 上海互联网软件有限公司 2015-12-11 09:54:44 
3730622 中国极地研究中心 100 361.00 上海互联网软件有限公司 2015-12-11 09:54:44 
3730609 中国疾病预防控制中心寄生虫病预防控制所 3 1,260.00 上海互联网软件有限公司 2016-07-15 09:47:01 
3921675 中华人民共和国上海海事局 2 72,522.00 上海汇策电子系统集成有限公司 2016-04-28 14:54:53 
3921667 同济大学 1 36,950.00 上海华胄网络科技有限公司 2016-05-18 16:17:59 
3921357 中国科学院上海应用物理研究所 1 36,515.00 上海承蓝科技股份有限公司 2016-06-14 10:17:43 
3918578 江苏省气象信息中心 1 111,034.00 上海群立电脑科技有限公司 2016-06-08 16:32:54 
3918578 中华人民共和国上海海事局 3 111,034.00 上海汇策电子系统集成有限公司 2016-04-27 15:03:29 
3918577 上海市浦东新区气象局 3 89,969.00 北京中天瑞达科技发展有限公司 2016-06-29 10:03:09 
3918583 上海交通大学 8 25,620.00 上海鑫湛信息科技有限公司 2016-05-30 17:54:16 
3917613 上海海关学院 1 7,581.00 上海博胜佳欣科技有限公司 2016-03-29 11:40:16 
3917515 上海海关学院 1 227,238.95 上海龙田数码科技有限公司 2016-04-29 11:13:45 
3916639 上海出入境检验检疫局 3 251,040.00 上海从维信息技术有限公司 2016-06-02 10:22:31 
3916562 交通运输部东海救助局 1 48,000.00 萃群实业（上海）有限公司 2016-07-12 16:26:36 
3916606 上海出入境检验检疫局 2 19,440.00 上海从维信息技术有限公司 2016-05-18 14:00:12 
3916606 上海国家会计学院 15 19,440.00 上海鸿照网络科技有限公司 2016-04-27 14:30:56 
3916592 上海出入境检验检疫局 3 161,790.00 上海从维信息技术有限公司 2016-05-20 16:49:06 
3731064 上海出入境检验检疫局 16 34,600.00 北京优兆科技有限公司 2015-06-26 11:31:35 
3731004 上海市气象信息与技术支持中心 7 24,570.00 上海合联电子科技有限公司 2015-12-23 16:24:54 
3724838 中国科学院上海生命科学研究院（植物生理生态所） 1 34,570.80 上海恩韦司信息系统有限公司 2015-10-21 14:17:01 
3724837 中华人民共和国上海海事局 12 25,000.00 上海汇策电子系统集成有限公司 2016-07-21 14:18:18 
3724837 中华人民共和国上海海事局 16 23,000.00 上海汇策电子系统集成有限公司 2016-07-21 14:15:17 
3724837 中国科学院上海生命科学研究院（植物生理生态所） 1 27,368.55 上海恩韦司信息系统有限公司 2015-10-21 14:17:01 
3724836 中国水产科学研究院东海水产研究所 2 24,007.50 上海汇策电子系统集成有限公司 2016-07-26 12:51:15 
3724529 中国科学院上海天文台 1 97,500.00 上海水天信息科技有限公司 2015-09-29 11:27:02 
3724529 交通运输部东海航海保障中心上海通信中心 1 217,158.00 上海博胜佳欣科技有限公司 2014-11-19 17:14:38 
3724528 交通运输部东海航海保障中心上海通信中心 3 66,688.00 上海博胜佳欣科技有限公司 2014-11-19 17:14:38 
3724198 国家气象信息中心 2 170,000.00 上海引跑信息科技有限公司 2015-09-16 17:17:50 
3918779 交通运输部东海航海保障中心上海通信中心 2 4,839.00 上海万聚电子科技有限公司 2016-06-17 16:46:09 
3918800 上海市浦东新区气象局 1 17,961.00 上海沐高网络科技有限公司 2016-03-03 11:12:39 
3917893 中国水产科学研究院东海水产研究所 1 25,022.00 上海汇策电子系统集成有限公司 2016-07-26 12:47:41 
3917893 同济大学 1 25,022.00 上海群立电脑科技有限公司 2016-07-01 10:53:12 
3916603 中华人民共和国上海海事局 1 6,900.00 上海博胜佳欣科技有限公司 2016-06-23 10:43:33 
3916634 中华人民共和国闵行海事局 4 9,000.00 上海海拓信息技术有限公司 2016-06-17 09:38:26 
3916633 上海出入境检验检疫局 14 14,400.00 上海从维信息技术有限公司 2016-05-18 14:00:12 
3724558 中华人民共和国上海海事局 5 27,345.00 上海博胜佳欣科技有限公司 2014-11-19 13:46:49 
3724554 中国科学院上海有机化学研究所 1 24,842.00 上海楚霖信息技术有限公司 2015-07-21 16:10:11 
3724554 中国科学院上海巴斯德研究所 1 25,606.00 上海水天信息科技有限公司 2014-12-30 11:07:43 
3721540 国家海洋局东海环境监测中心 2 80,640.00 上海晓轩信息技术有限公司 2015-08-12 10:37:02 
