,Unnamed: 0,id,classify_3,brand,model,buyer,number,price,seller,date,time,total_price,year
2,5,3921667,塔式服务器高档,inspur浪潮,P8000,同济大学,1,36950.0,上海华胄网络科技有限公司,2016-05-18,16:17:59,36950.0,2016
21,32,3917893,机架式服务器中、低档,Lenovo（联想）,ThinkServer RD650,同济大学,1,25022.0,上海群立电脑科技有限公司,2016-07-01,10:53:12,25022.0,2016
48,66,3919404,磁盘阵列低档,Infortrend（普安）,ESDS 1012,同济大学,1,43900.0,上海有卅信息科技有限公司,2016-08-02,18:00:20,43900.0,2016
50,68,3919405,磁盘阵列中档,Infortrend（普安）,ESDS 1024,同济大学,1,73690.0,上海有卅信息科技有限公司,2016-08-02,18:00:20,73690.0,2016
76,94,3916642,数据中心接入交换机 中档及以上,华三（H3C）,H3C S6300-52QF主机+双风扇+双电源,同济大学,5,75120.0,上海汉澄电子设备有限公司,2016-05-25,13:59:01,375600.0,2016
86,104,3919059,园区汇聚交换机 中档及以上,华为,S5720-56C-EI-AC,同济大学,1,35658.0,上海龙田数码科技有限公司,2016-03-01,15:52:06,35658.0,2016
88,106,3921361,园区接入交换机（百兆） 低档,戴尔,PowerConnect 2848,同济大学,6,3743.0,上海同济科教技术物资有限公司,2016-05-25,07:34:40,22458.0,2016
89,107,3921361,园区接入交换机（百兆） 低档,戴尔,PowerConnect 2848,同济大学,3,3743.0,上海港讯电子科技有限公司,2016-05-23,08:58:14,11229.0,2016
96,114,3921341,刀片服务器中档,戴尔,Dell PowerEdge M630,同济大学,5,23313.0,上海仪电鑫森科技发展有限公司,2016-05-18,17:04:06,116565.0,2016
103,134,3916631,无线网桥,华三（H3C）,H3C EWP-WA4620i-ACN,同济大学,20,4800.0,上海汉澄电子设备有限公司,2016-05-12,10:26:58,96000.0,2016
122,157,3922410,电子科技大学高性能计算机,惠普,HP EliteDesk 880 G2 TWR,同济大学,6,6450.0,上海同济科教技术物资有限公司,2016-06-22,17:31:02,38700.0,2016
123,158,3922144,,DELL（戴尔）,OptiPlex 7040 MD11136,同济大学,2,7180.0,上海同济科教技术物资有限公司,2016-07-18,08:42:02,14360.0,2016
124,159,3921988,,Lenovo（联想）,ThinkCentre M8600t-D065,同济大学,2,6650.0,上海同济科教技术物资有限公司,2016-05-09,07:58:45,13300.0,2016
130,165,3922767,,Lenovo（联想）,昭阳E41-8016(DOS),同济大学,4,5450.0,上海群立电脑科技有限公司,2016-06-28,10:46:34,21800.0,2016
136,171,3921983,,Lenovo（联想）,启天M5900-D105,同济大学,6,3990.0,上海同济科教技术物资有限公司,2016-05-13,16:33:45,23940.0,2016
137,172,3922393,,惠普,HP EliteDesk 880 G2 TWR Business PC,同济大学,4,5400.0,上海同济科教技术物资有限公司,2016-05-17,07:39:37,21600.0,2016
144,179,3922134,,DELL（戴尔）,OptiPlex 3240 AIO AB10046,同济大学,1,4980.0,上海同济科教技术物资有限公司,2016-07-01,08:07:27,4980.0,2016
145,180,3922134,,DELL（戴尔）,OptiPlex 3240 AIO AB10046,同济大学,94,4980.0,上海港讯电子科技有限公司,2016-06-28,17:07:02,468120.0,2016
150,185,3922137,国家知识产权局专利局审查台式机配置二, DELL（戴尔）,OptiPlex 7040 MD11006(双屏）,同济大学,5,7450.0,上海同济科教技术物资有限公司,2016-06-03,08:42:51,37250.0,2016
151,186,3922137,国家知识产权局专利局审查台式机配置二, DELL（戴尔）,OptiPlex 7040 MD11006(双屏）,同济大学,1,7450.0,上海同济科教技术物资有限公司,2016-06-03,08:40:33,7450.0,2016
