buyer,万宗网络科技（上海）有限公司,万雍科技(上海)有限公司,上海万聚电子科技有限公司,上海中隽电子科技发展有限公司,上海互联网软件有限公司,上海亚太蓝星计算机信息技术有限公司,上海从维信息技术有限公司,上海仪电鑫森科技发展有限公司,上海华敏鼎燊通讯设备有限公司,上海华胄网络科技有限公司,上海博胜佳欣科技有限公司,上海合联电子科技有限公司,上海同济科教技术物资有限公司,上海复旦科教器材服务有限公司,上海山屹实业有限公司,上海恒驰信息系统有限公司,上海恩韦司信息系统有限公司,上海惠衡科技发展有限公司,上海承蓝电子科技有限公司,上海承蓝科技股份有限公司,上海易颜居网络科技有限公司,上海晓轩信息技术有限公司,上海有卅信息科技有限公司,上海极有网络科技有限公司,上海汇策电子系统集成有限公司,上海汉澄电子设备有限公司,上海沐高网络科技有限公司,上海海拓信息技术有限公司,上海港讯电子科技有限公司,上海爱可生信息技术股份有限公司,上海盛举信息科技有限公司,上海睿领信息技术有限公司,上海群立电脑科技有限公司,上海蓝道信息技术有限公司,上海蕊心信息科技有限公司,上海鑫湛信息科技有限公司,上海鸿照网络科技有限公司,上海龙田数码科技有限公司,中晟易键通（上海）科技发展有限公司,中经网数据有限公司,北京业成达科贸有限公司,北京中佳宏威科技有限公司,北京中天瑞达科技发展有限公司,北京久其软件股份有限公司,北京众和永业科技发展有限公司,北京优兆科技有限公司,北京开莱兴业科技有限公司,北京浩普诚华科技有限公司,北京百德科技有限公司,南京南方电讯有限公司,萃群实业（上海）有限公司,buyer_total
上海国家会计学院,0,0,0,1000435,0,0,0,0,819250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291600,0,0,126500,0,0,0,0,0,0,0,0,0,0,0,2237785
上海出入境检验检疫局,0,0,0,0,0,0,1478970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162700,0,0,0,0,0,1641670
同济大学,0,0,0,0,0,0,0,116565,0,36950,0,0,184038,0,0,0,0,0,0,0,0,0,117590,0,0,471600,0,0,479349,0,0,0,46822,0,0,0,0,35658,0,0,0,0,0,0,0,0,0,0,0,0,0,1488572
中华人民共和国上海海事局,0,0,0,0,0,0,0,0,0,0,6900,0,0,0,0,0,0,0,0,104617,0,0,0,0,1146146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65400,0,1323063
国家海洋局东海信息中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183483
上海国际旅行卫生保健中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134104
上海海关学院,0,0,0,0,0,0,0,0,0,0,7581,0,0,0,0,0,0,0,0,471960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227239,0,0,0,0,0,0,0,0,0,0,0,0,271410,978190
中国气象局上海台风研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700440
中国科学院上海有机化学研究所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692858,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695308
上海出入境边防检查总站,0,0,0,0,0,0,0,0,0,0,0,569196,0,0,0,46702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615898
