,Unnamed: 0,id,classify_3,brand,model,buyer,number,price,seller,date,time,total_price,year
3,6,3921357,网络附加存储（NAS）低档,戴尔,Dell Storage NX3330,中国科学院上海应用物理研究所,1,36515.0,上海承蓝科技股份有限公司,2016-06-14,10:17:43,36515.0,2016
31,49,3917056,无线控制器,深信服,WAC-1100（v3.0）,中国科学院上海应用物理研究所,1,29542.0,上海承蓝科技股份有限公司,2016-07-22,10:01:33,29542.0,2016
32,50,3919042,无线接入点,华为,AP2030DN,上海海关学院,180,2622.0,上海承蓝科技股份有限公司,2016-04-29,12:19:59,471960.0,2016
34,52,3917054,无线接入点,深信服,AP-360-P（v3.0）,中国科学院上海应用物理研究所,3,2350.0,上海承蓝科技股份有限公司,2016-07-22,10:01:33,7050.0,2016
35,53,3917053,无线接入点,深信服,AP-360（v3.0）,中国科学院上海应用物理研究所,55,2860.0,上海承蓝科技股份有限公司,2016-07-22,10:01:33,157300.0,2016
40,58,3917075,上网行为管理系统,深信服,NC-450(V6.0),中华人民共和国上海海事局,1,104617.0,上海承蓝科技股份有限公司,2016-07-29,14:53:03,104617.0,2016
47,65,3921354,磁盘阵列低档,戴尔,Dell Storage SCv2000,中国科学院上海应用物理研究所,1,70640.0,上海承蓝科技股份有限公司,2016-06-14,10:17:43,70640.0,2016
52,70,3918745,磁盘阵列中档,EMC,VNX5400,江苏出入境检验检疫局,2,229441.0,上海承蓝科技股份有限公司,2016-04-25,11:39:31,458882.0,2016
77,95,3921330,塔式服务器高档,戴尔,Dell PowerEdge T630,中国科学院上海生命科学研究院,1,38741.0,上海承蓝科技股份有限公司,2016-07-22,10:40:52,38741.0,2016
82,100,3921331,塔式服务器中档,戴尔,Dell PowerEdge T630,国家海洋局东海预报中心,1,16296.0,上海承蓝科技股份有限公司,2016-07-14,11:04:42,16296.0,2016
