,id,classify_3,brand,model,buyer,number,price,seller,date,time,total_price,year
3,3730609,桌面办公系统,微软（Microsoft）,021-10293 OfficeStd 2013 SNGL MVL,中国疾病预防控制中心寄生虫病预防控制所,3,1260.0,上海互联网软件有限公司,2016-07-15,09:47:01,3780.0,2016
4,3921675,GPU并行运算服务器中、低档,inspur浪潮,NF8460M4,中华人民共和国上海海事局,2,72522.0,上海汇策电子系统集成有限公司,2016-04-28,14:54:53,145044.0,2016
5,3921667,塔式服务器高档,inspur浪潮,P8000,同济大学,1,36950.0,上海华胄网络科技有限公司,2016-05-18,16:17:59,36950.0,2016
6,3921357,网络附加存储（NAS）低档,戴尔,Dell Storage NX3330,中国科学院上海应用物理研究所,1,36515.0,上海承蓝科技股份有限公司,2016-06-14,10:17:43,36515.0,2016
7,3918578,机架式服务器高档,Lenovo systemX,System x3850X6,江苏省气象信息中心,1,111034.0,上海群立电脑科技有限公司,2016-06-08,16:32:54,111034.0,2016
8,3918578,机架式服务器高档,Lenovo systemX,System x3850X6,中华人民共和国上海海事局,3,111034.0,上海汇策电子系统集成有限公司,2016-04-27,15:03:29,333102.0,2016
9,3918577,机架式服务器高档,Lenovo systemX,System x3850X6,上海市浦东新区气象局,3,89969.0,北京中天瑞达科技发展有限公司,2016-06-29,10:03:09,269907.0,2016
10,3918583,刀片服务器中档,Lenovo systemX,Flex system x240M5,上海交通大学,8,25620.0,上海鑫湛信息科技有限公司,2016-05-30,17:54:16,204960.0,2016
11,3917613,园区接入交换机（千兆）,迈普（MAIPU）,MyPower S3320-52TC,上海海关学院,1,7581.0,上海博胜佳欣科技有限公司,2016-03-29,11:40:16,7581.0,2016
12,3917515,磁盘阵列低档,华为,OceanStor 5300 V3+64GB缓存,上海海关学院,1,227238.95,上海龙田数码科技有限公司,2016-04-29,11:13:45,227238.95,2016
13,3916639,园区核心交换机 中档及以上,华三（H3C）,H3C S7506E-X主机+双主控+双电源,上海出入境检验检疫局,3,251040.0,上海从维信息技术有限公司,2016-06-02,10:22:31,753120.0,2016
14,3916562,防火墙产品（千兆）,华三（H3C）,H3C SecPath F1000（F1030主机）,交通运输部东海救助局,1,48000.0,萃群实业（上海）有限公司,2016-07-12,16:26:36,48000.0,2016
15,3916606,园区接入交换机（千兆）,华三（H3C）,H3C S5130-52S-EI主机,上海出入境检验检疫局,2,19440.0,上海从维信息技术有限公司,2016-05-18,14:00:12,38880.0,2016
16,3916606,园区接入交换机（千兆）,华三（H3C）,H3C S5130-52S-EI主机,上海国家会计学院,15,19440.0,上海鸿照网络科技有限公司,2016-04-27,14:30:56,291600.0,2016
