category,,category,model,total_price,number,prop
光纤交换机中低档,5,光纤交换机中低档,"博科, BR-360-0008",1296200.0,16,0.0174789009122
光纤交换机中低档,4,光纤交换机中低档,"华为, OceanStor SNS2224",721192.52,10,0.00972508300856
光纤交换机中低档,0,光纤交换机中低档,"Lenovo（联想）, Lenovo B300",655308.0,18,0.00883664835594
光纤交换机中低档,7,光纤交换机中低档,"惠普, HP 8/24 Base (16) Full Fabric Ports Enabled SAN Switch",556900.0,12,0.00750964351026
光纤交换机中低档,6,光纤交换机中低档,"博科, BR-6505-12-8G-0R",435970.0,5,0.00587893568176
光纤交换机中低档,1,光纤交换机中低档,"inspur浪潮, FS5900",409236.0,7,0.00551843503603
光纤交换机中低档,13,光纤交换机中低档,"超云, BR-360-0008-A",307084.0,8,0.00414094337889
光纤交换机中低档,12,光纤交换机中低档,"曙光, 曙光6505光纤交换机",289640.0,4,0.00390571583105
光纤交换机中低档,8,光纤交换机中低档,"惠普, HP SN3000B 16Gb 24-port/12-port Active Fibre Channel Switch",251200.0,4,0.00338736299116
光纤交换机中低档,9,光纤交换机中低档,"戴尔, Dell Brocade 300",249318.0,5,0.00336198473818
光纤交换机中低档,3,光纤交换机中低档,"华为, OceanStor SNS2124",234865.56,8,0.00316709755511
光纤交换机中低档,10,光纤交换机中低档,"戴尔, Dell Brocade 6505",193012.0,2,0.00260271379638
光纤交换机中低档,2,光纤交换机中低档,"inspur浪潮, FS6500",133600.0,1,0.00180155929785
光纤交换机中低档,11,光纤交换机中低档,"曙光, 曙光300光纤交换机",112410.0,3,0.00151581796909
光纤交换机高档,14,光纤交换机高档,"ChangHong, ChangHong BR6510",1493776.0,9,0.0201431589948
光纤交换机高档,15,光纤交换机高档,"华为, OceanStor SNS2248",763860.68,4,0.0103004514245
光纤交换机高档,16,光纤交换机高档,"博科, BR-6510-24-8G-R",627276.0,4,0.0084586445368
光纤交换机高档,17,光纤交换机高档,"曙光, 曙光6510光纤交换机",133640.0,1,0.00180209868686
磁盘阵列中档,28,磁盘阵列中档,"华为, OceanStor 5500 V3+128GB缓存",5460983.08,17,0.0736398566105
磁盘阵列中档,30,磁盘阵列中档,"惠普, HP StoreServ 7200C",4148960.0,12,0.0559475858114
磁盘阵列中档,21,磁盘阵列中档,"Lenovo（联想）, Lenovo VNX5200",3127385.0,5,0.0421719275801
磁盘阵列中档,19,磁盘阵列中档,"EMC, VNX5400",2717127.0,12,0.0366397111548
磁盘阵列中档,23,磁盘阵列中档,"NetApp, FAS8020-R6",765200.0,2,0.0103185117868
