category,,category,model,total_price,number,prop
光纤交换机中低档,5,光纤交换机中低档,"博科, BR-360-0008",1296200.0,16,0.0174789009122
光纤交换机高档,14,光纤交换机高档,"ChangHong, ChangHong BR6510",1493776.0,9,0.0201431589948
磁盘阵列中档,28,磁盘阵列中档,"华为, OceanStor 5500 V3+128GB缓存",5460983.08,17,0.0736398566105
磁盘阵列中档,30,磁盘阵列中档,"惠普, HP StoreServ 7200C",4148960.0,12,0.0559475858114
磁盘阵列中档,21,磁盘阵列中档,"Lenovo（联想）, Lenovo VNX5200",3127385.0,5,0.0421719275801
磁盘阵列中档,19,磁盘阵列中档,"EMC, VNX5400",2717127.0,12,0.0366397111548
磁盘阵列低档,46,磁盘阵列低档,"华为, OceanStor 5300 V3+64GB缓存",3851253.4,17,0.0519330940953
磁盘阵列低档,44,磁盘阵列低档,"inspur浪潮, AS520E-M1",1734582.0,24,0.0233903617513
磁盘阵列低档,40,磁盘阵列低档,"Lenovo（联想）, Lenovo S3200",1578733.0,13,0.0212887808007
磁盘阵列低档,48,磁盘阵列低档,"戴尔, Dell Storage SCv2000",1471000.0,21,0.0198360308917
磁盘阵列低档,38,磁盘阵列低档,"IBM, IBM Storwize V5000(2078-24C)",1350000.0,3,0.0182043791324
磁盘阵列高档,62,磁盘阵列高档,"戴尔, Dell Compellent SC8000",2558243.0,4,0.0344972040629
磁盘阵列高档,60,磁盘阵列高档,"华为, OceanStor 18500 V3+512GB 缓存",1798771.64,2,0.0242559414128
磁盘阵列高档,54,磁盘阵列高档,"ChangHong, ChangHong FAS8040",1760000.0,2,0.0237331164986
磁盘阵列高档,58,磁盘阵列高档,"NetStor, NCS7000",1173000.0,3,0.0158175827573
磁盘阵列高档,61,磁盘阵列高档,"惠普, HP StoreServ 8400",1169600.0,2,0.0157717346913
磁盘阵列高档,57,磁盘阵列高档,"MacroSAN（宏杉）, MS5520",1159800.0,4,0.0156395843836
网络附加存储（NAS）中高档,81,网络附加存储（NAS）中高档,"华为, OceanStor 9000 P25+48GB缓存+21.6TB SAS &200GB SSD硬盘",1264975.17,3,0.0170578426576
